# ClusterName	DarkMatter-Gas Separation
1E0657	0.666
1E0657	0.848
A1758	0.207
A1758	0.065
A209	0.059
A209	0.250
A2146	0.151
A2146	0.335
A2163	0.348
A2163	0.423
A2744	0.355
A2744	0.355
A2744	1.377
A370	0.211
A370	0.059
A520	1.435
A520	1.042
A520	0.684
A520	0.573
A520	0.776
A781	0.136
A781	0.182
A781	0.163
DLSCLJ0916	0.923
DLSCLJ0916	0.166
ElGordo	0.123
ElGordo	0.387
MACSJ0025	0.558
MACSJ0025	0.076
MACSJ0152	0.045
MACSJ0152	0.009
MACSJ0358	0.295
MACSJ0358	0.083
MACSJ0416	0.118
MACSJ0416	0.317
MACSJ0417	0.043
MACSJ0417	0.377
MACSJ0553	0.169
MACSJ0553	0.175
MACSJ0553	0.052
MACSJ0553	0.245
MACSJ0717	0.312
MACSJ0717	0.095
MACSJ0717	0.110
MACSJ0717	0.296
MACSJ1006	0.118
MACSJ1006	0.280
MACSJ1226	0.112
MACSJ1226	0.031
MACSJ1226	0.148
MACSJ1226	0.219
MACSJ1354	0.037
MACSJ1354	0.038
MACSJ1354	0.206
MACSJ1731	0.270
MACSJ1731	0.039
MACSJ2243	0.480
MACSJ2243	0.573
MS1054	0.064
MS1054	0.217
RXCJ0105	0.346
RXCJ0105	0.244
RXCJ0638	0.033
RXCJ0638	0.227
RXJ1000	0.043
SPTCL2332	0.056
SPTCL2332	0.117
SPTCL2332	0.028
ZWCL1234	0.336
ZWCL1234	0.574
ZWCL1358	0.088
ZWCL1358	0.681
